,direccion,barrio,distrito,precio,metros
0,"avenida de Blasco Ibáñez, Ciutat Jardí, València",Ciutat Jardi,Algirós,2.300€/mes,222 m²
1,"calle Serpis, 66, Ciutat Jardí, València",Ciutat Jardi,Algirós,10.000€/mes,1.073 m²
2,"calle de la Historiadora Sylvia Romeu, 10, Ciutat Jardí, València",Ciutat Jardi,Algirós,749€/mes,70 m²
3,"calle de l'Explorador Andrés, 38, Ciutat Jardí, València",Ciutat Jardi,Algirós,550€/mes,40 m²
4,"Blasco Ibañez, Ciutat Jardí, València",Ciutat Jardi,Algirós,1.000€/mes,120 m²
5,"calle los Leones, Ciutat Jardí, València",Ciutat Jardi,Algirós,450€/mes,65 m²
6,"avenida de Blasco Ibáñez, Ciutat Jardí, València",Ciutat Jardi,Algirós,1.729€/mes,131 m²
7,"avenida de Blasco Ibáñez, Ciutat Jardí, València",Ciutat Jardi,Algirós,549€/mes,100 m²
8,"calle de l'Explorador Andrés, Ciutat Jardí, València",Ciutat Jardi,Algirós,1.650€/mes,200 m²
9,"Ciutat Jardí, València",Ciutat Jardi,Algirós,800€/mes,69 m²
10,"plaza d'Hondures, Ciutat Jardí, València",Ciutat Jardi,Algirós,1.250€/mes,117 m²
11,"calle de Campoamor, Ciutat Jardí, València",Ciutat Jardi,Algirós,710€/mes,91 m²
12,"calle Músico Ginés, Ciutat Jardí, València",Ciutat Jardi,Algirós,500€/mes,39 m²
13,"calle Músico Ginés, Ciutat Jardí, València",Ciutat Jardi,Algirós,475€/mes,40 m²
14,"avenida de Blasco Ibáñez, Ciutat Jardí, València",Ciutat Jardi,Algirós,1.300€/mes,180 m²
15,"calle de l'Explorador Andrés, Ciutat Jardí, València",Ciutat Jardi,Algirós,1.100€/mes,90 m²
16,"Honduras, Ciutat Jardí, València",Ciutat Jardi,Algirós,590€/mes,41 m²
17,"calle del Músic Ginés, Ciutat Jardí, València",Ciutat Jardi,Algirós,650€/mes,53 m²
18,"calle de Campoamor, Ciutat Jardí, València",Ciutat Jardi,Algirós,538€/mes,41 m²
19,"Ciutat Jardí, València",Ciutat Jardi,Algirós,350€/mes,37 m²
20,"Ciutat Jardí, València",Ciutat Jardi,Algirós,1.005€/mes,110 m²
21,"Ciutat Jardí, València",Ciutat Jardi,Algirós,970€/mes,100 m²
22,"calle de Campoamor, 48, Ciutat Jardí, València",Ciutat Jardi,Algirós,1.999€/mes,240 m²
23,"calle del Poeta Mas y Ros, Ciutat Jardí, València",Ciutat Jardi,Algirós,450€/mes,40 m²
24,"calle Escultor Alfonso gabino, Ciutat Jardí, València",Ciutat Jardi,Algirós,1.200€/mes,47 m²
25,"calle de l'Escultor Alfons Gabino, 10, Ciutat Jardí, València",Ciutat Jardi,Algirós,1.350€/mes,160 m²
26,"Ciutat Jardí, València",Ciutat Jardi,Algirós,2.200€/mes,180 m²
27,"plaza del Cedre, 10, Ciutat Jardí, València",Ciutat Jardi,Algirós,1.000€/mes,120 m²
28,"avenida de Blasco Ibáñez, 122, Ciutat Jardí, València",Ciutat Jardi,Algirós,1.250€/mes,120 m²
29,"plaza del Xúquer, La Vega Baixa, València",La Vega Baixa,Algirós,1.300€/mes,67 m²
30,"plaza del Xúquer, La Vega Baixa, València",La Vega Baixa,Algirós,4.000€/mes,216 m²
31,"avenida Blasco Ibáñez, La Vega Baixa, València",La Vega Baixa,Algirós,1.295€/mes,200 m²
32,"plaza del Xúquer, La Vega Baixa, València",La Vega Baixa,Algirós,1.200€/mes,75 m²
33,"calle de Ramon Llull, 3, La Vega Baixa, València",La Vega Baixa,Algirós,1.600€/mes,389 m²
34,"plaza del Xúquer, La Vega Baixa, València",La Vega Baixa,Algirós,765€/mes,30 m²
35,"calle de Gorgos, La Vega Baixa, València",La Vega Baixa,Algirós,1.400€/mes,140 m²
36,"calle del Serpis, 3, La Vega Baixa, València",La Vega Baixa,Algirós,1.800€/mes,300 m²
37,"La Vega Baixa, València",La Vega Baixa,Algirós,2.300€/mes,300 m²
38,"plaza Xúquer, 1, La Vega Baixa, València",La Vega Baixa,Algirós,1.695€/mes,180 m²
39,"La Vega Baixa, València",La Vega Baixa,Algirós,1.823€/mes,128 m²
40,"avenida Blasco Ibáñez, La Vega Baixa, València",La Vega Baixa,Algirós,1.300€/mes,185 m²
41,"calle de Bernat Fenollar, La Vega Baixa, València",La Vega Baixa,Algirós,673€/mes,120 m²
42,"La Vega Baixa, València",La Vega Baixa,Algirós,1.100€/mes,250 m²
43,"La Vega Baixa, València",La Vega Baixa,Algirós,1.600€/mes,150 m²
44,"paseo de les Facultats, La Vega Baixa, València",La Vega Baixa,Algirós,900€/mes,109 m²
45,"calle de Gorgos, 8, La Vega Baixa, València",La Vega Baixa,Algirós,1.100€/mes,250 m²
46,"plaza del Xúquer, 3, La Vega Baixa, València",La Vega Baixa,Algirós,1.200€/mes,75 m²
47,"La Vega Baixa, València",La Vega Baixa,Algirós,1.200€/mes,75 m²
48,"calle del Gorgos, La Vega Baixa, València",La Vega Baixa,Algirós,1.400€/mes,260 m²
