,Distritos,2015,2016,2017,2018,2019,2020,2021
0,CIUTAT VELLA,16.369,17.157,17.076,18.81,18.756,19.009,19.299
1,L'EIXAMPLE,16.778,17.652,18.068,19.043,19.963,20.299,20.081
2,EXTRAMURS,14.55,14.841,15.193,16.058,16.719,16.794,17.347
3,CAMPANAR,13.359,13.657,13.962,14.5,15.039,15.126,15.764
4,LA SAIDIA,11.028,11.253,11.367,12.078,12.732,13.023,13.439
5,EL PLA DEL REAL,18.9,18.319,18.844,19.893,20.292,20.207,20.636
6,L'OLIVERETA,9.786,9.964,10.25,10.663,11.158,11.41,11.79
7,PATRAIX,11.341,11.595,11.944,12.441,13.029,13.331,13.969
8,JESUS,10.08,10.302,10.627,11.098,11.578,11.825,12.31
9,QUATRE CARRERES,10.383,10.565,10.877,11.48,12.089,12.357,12.948
10,POBLATS MARITIMS,9.779,10.096,10.45,10.991,11.547,11.698,12.29
11,CAMINS AL GRAU,11.567,11.902,12.376,12.861,13.477,13.788,14.262
12,ALGIROS,13.202,13.392,13.655,14.252,14.877,15.105,15.687
13,BENIMACLET,12.566,12.726,13.208,13.959,14.537,14.834,15.243
14,RASCANYA,9.607,9.823,10.143,10.638,11.118,11.388,11.897
15,BENICALAP,9.794,10.083,10.302,10.766,11.301,11.52,12.081
