,Geo Point,Geo Shape,dlibre,dgenerica_,despecific,regimen,direccion,codpos,telef,fax,mail,distrito,Tipo
1,"39.47973499907391, -0.37798000000000054","{""coordinates"": [-0.37798, 39.47973499907391], ""type"": ""Point""}",CENTRE PRIVAT GRAN ASOCIACIÓN,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",GRAN ASOCIACIÓN,CONCERTADO,"CL. PADRE HUÉRFANOS, 3",46003,963911791,963911813,colegio@granasociacion.org,Ciutat Vella,D'EDUCACIÓ INFANTIL
2,"39.46364799907402, -0.3623449999999995","{""coordinates"": [-0.362345, 39.46364799907402], ""type"": ""Point""}",CENTRE PRIVAT NUESTRA SEÑORA DE LORETO,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",NUESTRA SEÑORA DE LORETO,CONCERTADO,"CL. SALAMANCA, 55",46005,963331029,963355712,secretaria.loretovalencia@fesd.es,L'Eixample,D'EDUCACIÓ INFANTIL
3,"39.46280299907402, -0.37246099999999943","{""coordinates"": [-0.372461, 39.46280299907402], ""type"": ""Point""}",CENTRE PRIVAT FP OLLER 1,CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,OLLER 1,CONCERTADO,"CL. CARLOS CERVERA, 9",46006,963748494,963748494,ollerfp@cece.es,L'Eixample,FORMACIÓ PROFESSIONAL ESPECÍFICA
4,"39.464885999074006, -0.38259000000000076","{""coordinates"": [-0.38259, 39.464885999074006], ""type"": ""Point""}",CENTRE PRIVAT SANTO TOMÁS DE VILLANUEVA,CENTRE PRIVAT D'EDUCACIÓ PRIMÀRIA I SECUNDÀRIA,SANTO TOMÁS DE VILLANUEVA,CONCERTADO,"CL. ALBACETE, 5",46007,963411999,963807933,colegio@agustinosvalencia.com,Extramurs,D'EDUCACIÓ PRIMÀRIA I SECUNDÀRIA
5,"39.470934999073975, -0.385999","{""coordinates"": [-0.385999, 39.470934999073975], ""type"": ""Point""}",CENTRE PRIVAT ESCOLÀPIES VALÈNCIA,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",ESCOLÀPIES VALÈNCIA,CONCERTADO,"GV. FERNANDO EL CATÓLICO, 23",46008,963852331,963820499,info@escolapiasvalencia.org,Extramurs,D'EDUCACIÓ INFANTIL
6,"39.49379199907383, -0.3707990000000001","{""coordinates"": [-0.370799, 39.49379199907383], ""type"": ""Point""}",CENTRE PRIVAT MERCERATOR,CENTRE PRIVAT D'EDUCACIÓ INFANTIL I PRIMÀRIA,MERCERATOR,CONCERTADO,"CL. PADRE VIÑAS, 66-68",46019,963389894,963662742,director@colegiomercerator.es,Rascanya,D'EDUCACIÓ INFANTIL I PRIMÀRIA
7,"39.48834399907385, -0.3734330000000006","{""coordinates"": [-0.373433, 39.48834399907385], ""type"": ""Point""}",CENTRE PRIVAT LUZ CASANOVA,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",LUZ CASANOVA,CONCERTADO,"CL. LUZ CASANOVA, 8",46009,963657568,963653054,direccion@luzcasanova.org,Campanar,D'EDUCACIÓ INFANTIL
8,"39.49069899907384, -0.3915700000000001","{""coordinates"": [-0.39157, 39.49069899907384], ""type"": ""Point""}",CENTRE PRIVAT NUESTRA SEÑORA DEL CARMEN-S.VICENTE PAÚL,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",NUESTRA SEÑORA DEL CARMEN-SAN VICENTE PAÚL,CONCERTADO,"AV. BURJASSOT, 150",46025,963491210,963400848,nscsvp@elcarmenbenicalap.com,Benicalap,D'EDUCACIÓ INFANTIL
9,"39.485527999073874, -0.3812810000000006","{""coordinates"": [-0.381281, 39.485527999073874], ""type"": ""Point""}",CENTRE PRIVAT SANTIAGO APÓSTOL,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",SANTIAGO APÓSTOL,CONCERTADO,"CL. DOCTOR OLÓRIZ, 36",46009,963473715,963488157,direccion@sapostol.com,Campanar,D'EDUCACIÓ INFANTIL
10,"39.476518999073924, -0.3550709999999994","{""coordinates"": [-0.355071, 39.476518999073924], ""type"": ""Point""}",CENTRE PRIVAT NUESTRA SEÑORA DEL PILAR,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",NUESTRA SEÑORA DEL PILAR,CONCERTADO,"AV. BLASCO IBÁÑEZ, 35",46021,963694308,963934009,colegio@elpilarvalencia.org,Pla del Real,D'EDUCACIÓ INFANTIL
11,"39.46725099907399, -0.3524580000000004","{""coordinates"": [-0.352458, 39.46725099907399], ""type"": ""Point""}",CENTRE PRIVAT ENGEBA,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",ENGEBA,CONCERTADO,"CL. ABEN-AL-ABBAR, 12",46021,963930132,0,secretaria@colegioengeba.com,Pla del Real,D'EDUCACIÓ INFANTIL
13,"39.44487799907414, -0.39126399999999917","{""coordinates"": [-0.391264, 39.44487799907414], ""type"": ""Point""}",CENTRE PRIVAT SALGUI,CENTRE PRIVAT D'EDUCACIÓ INFANTIL I PRIMÀRIA,SALGUI,CONCERTADO,"CL. MÚSICO CABANILLES, 33",46017,963785073,963785073,direccion@colegiosalgui.es,Jesus,D'EDUCACIÓ INFANTIL I PRIMÀRIA
14,"39.45351799907409, -0.39627800000000096","{""coordinates"": [-0.396278, 39.45351799907409], ""type"": ""Point""}",CEIP IVAF-LUIS FORTICH,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,IVAF-LUIS FORTICH,CONCERTADO,"CL. JUAN DE GARAY, 23",46017,963883023,963883008,luis.fortich@dival.es,Jesus,D'EDUCACIÓ INFANTIL I PRIMÀRIA
15,"39.466339999073995, -0.4065129999999991","{""coordinates"": [-0.406513, 39.466339999073995], ""type"": ""Point""}",CENTRE PRIVAT SANTA MARÍA,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",SANTA MARÍA,CONCERTADO,"AV. TRES CRUCES, 10",46014,963792355,963837616,gestion@santamariahcm.es,Olivereta,D'EDUCACIÓ INFANTIL
16,"39.44339799907414, -0.3915520000000016","{""coordinates"": [-0.391552, 39.44339799907414], ""type"": ""Point""}",CENTRE PRIVAT SAN MARCELINO,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",SAN MARCELINO,CONCERTADO,"CL. DOCTOR ROYO VILANOVA, 3",46017,963587268,963170140,cosanmar@gmail.com,Jesus,D'EDUCACIÓ INFANTIL
17,"39.486869999073875, -0.39778199999999964","{""coordinates"": [-0.397782, 39.486869999073875], ""type"": ""Point""}",CENTRE PRIVAT ESCUELAS SAN JOSÉ (I. POLIT.),CENTRE PRIVAT D'EDUCACIÓ PRIMÀRIA I SECUNDÀRIA,ESCUELAS SAN JOSÉ (I. POLIT.),CONCERTADO,"AV. DE LES CORTS VALENCIANES, 1",46015,963499011,963488835,sanjosejesuitas@escuelassj.com,Benicalap,D'EDUCACIÓ PRIMÀRIA I SECUNDÀRIA
18,"39.457932999074046, -0.38983200000000073","{""coordinates"": [-0.389832, 39.457932999074046], ""type"": ""Point""}",CEIP JESÚS,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,JESÚS,PÚBLICO,"CL. FRANCO TORMO, 2",46007,962566660,962566661,46012240@edu.gva.es,Extramurs,D'EDUCACIÓ INFANTIL I PRIMÀRIA
19,"39.45076899907409, -0.3941510000000001","{""coordinates"": [-0.394151, 39.45076899907409], ""type"": ""Point""}",CEIP SANTO ÁNGEL DE LA GUARDA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,SANTO ÁNGEL DE LA GUARDA,PÚBLICO,"AV. GASPAR AGUILAR, 96",46017,961205525,961205526,46012252@edu.gva.es,Jesus,D'EDUCACIÓ INFANTIL I PRIMÀRIA
20,"39.468276999073986, -0.38480899999999923","{""coordinates"": [-0.384809, 39.468276999073986], ""type"": ""Point""}",CEIP LUIS VIVES,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,LUIS VIVES,PÚBLICO,"CL. CUENCA, 17",46007,962566270,962566271,46012306@edu.gva.es,Extramurs,D'EDUCACIÓ INFANTIL I PRIMÀRIA
21,"39.47710299907392, -0.3840870000000001","{""coordinates"": [-0.384087, 39.47710299907392], ""type"": ""Point""}",CEIP CERVANTES,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,CERVANTES,PÚBLICO,"CL. GUILLEM DE CASTRO, 153",46008,961205505,961205506,46012343@edu.gva.es,Extramurs,D'EDUCACIÓ INFANTIL I PRIMÀRIA
22,"39.46726499907399, -0.40261799999999975","{""coordinates"": [-0.402618, 39.46726499907399], ""type"": ""Point""}",CEIP GASPAR GIL POLO,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,GASPAR GIL POLO,PÚBLICO,"CL. MIGUEL PAREDES, 5",46018,962566030,962566031,46012355@edu.gva.es,Patraix,D'EDUCACIÓ INFANTIL I PRIMÀRIA
23,"39.48561899907388, -0.36828899999999964","{""coordinates"": [-0.368289, 39.48561899907388], ""type"": ""Point""}",CEIP SAN FERNANDO,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,SAN FERNANDO,PÚBLICO,"CL. BELLUS, 5-7",46010,962566090,962566091,46012471@edu.gva.es,Pla del Real,D'EDUCACIÓ INFANTIL I PRIMÀRIA
24,"39.46701899907401, -0.32732600000000156","{""coordinates"": [-0.327326, 39.46701899907401], ""type"": ""Point""}",CEIP LES ARENES,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,LES ARENES,PÚBLICO,"CL. CASAS DE LANUZA, 2-4",46011,962566040,962566041,46012604@edu.gva.es,Poblados Marítimos,D'EDUCACIÓ INFANTIL I PRIMÀRIA
26,"39.46227399907403, -0.36980100000000066","{""coordinates"": [-0.369801, 39.46227399907403], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE F. DON JUAN DE DIOS MONTAÑES,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,FUNDACIÓN DON JUAN DE DIOS MONTAÑES,PRIVADO,"CL. PINTOR SALVADOR ABRIL, 25",46005,963742920,963742920,info@fundacionmontanes.org,L'Eixample,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
27,"39.47199699907395, -0.38470400000000066","{""coordinates"": [-0.384704, 39.47199699907395], ""type"": ""Point""}",CENTRE PRIVAT FP PAX,CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,PAX,CONCERTADO,"CL. ESPINOSA, 5",46008,963913394,963919863,secretaria@institutopax.com,Extramurs,FORMACIÓ PROFESSIONAL ESPECÍFICA
28,"39.463742999074015, -0.3693459999999987","{""coordinates"": [-0.369346, 39.463742999074015], ""type"": ""Point""}",CENTRE PRIVAT ESCUELAS PROFESIONALES DE ARTESANOS,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",ESCUELAS PROFESIONALES DE ARTESANOS,CONCERTADO,"AV. REGNE DE VALENCIA, 40-42",46005,963746592,963333547,escudire@escuelasdeartesanos.com,L'Eixample,D'EDUCACIÓ INFANTIL
