,nombre,formatted_address,latitud,longitud,opening_hours,hora,dia,rating,user_ratings_total,cp,distrito
0,Llibreria,"Algirós, 46022 Valencia, España",39.4812723,-0.3435913,True,12:09:03,2024-02-19,4.2,27,46022,Camins al Grau
1,PAPELERÍA BELLVER,"Av. de Burjassot, 245, Benicalap, 46015 València, Valencia, España",39.4948957,-0.396144,False,14:50:27,2024-02-09,4.8,93,46015,Benicalap
3,Librería y espacio cultural Vuelo de palabras,"Av. de Giorgeta, 22, Jesús, 46007 València, Valencia, España",39.4598077,-0.3852763,False,14:50:39,2024-02-09,4.4,9,46007,Extramurs
5,Libro Ideas - Nuevo Centro,"Av. de Pius XII, 2, Campanar, 46009 València, Valencia, España",39.48039259999999,-0.3898637,True,12:09:15,2024-02-19,4.5,175,46009,Campanar
7,LIBRERIA PAPELERIA BLANCO Y NEGRO,"Av. de Valladolid, 11, Benimaclet, 46020 València, Valencia, España",39.489082,-0.3598321,False,14:50:28,2024-02-09,4.4,68,46020,Benimaclet
9,Libreria- Papeleria TINA,"Av. de la Plata, 15, Quatre Carreres, 46013 València, Valencia, España",39.453769,-0.3707477,True,12:09:19,2024-02-19,4.6,77,46013,Quatre Carreres
11,Papelería Baleares 18,"Av. de les Balears, 18, Camins al Grau, 46023 València, Valencia, España",39.4628742,-0.354806,False,14:50:42,2024-02-09,4.5,68,46023,Camins al Grau
13,Librería Primado,"Av. del Primat Reig, 102, El Pla del Real, 46010 València, Valencia, España",39.4815479,-0.3600495,False,14:50:28,2024-02-09,4.7,162,46010,Pla del Real
15,English Wooks,"Av. dels Tamarindes, 39, Campanar, 46015 València, Valencia, España",39.4791365,-0.4024174,True,12:09:10,2024-02-19,4.3,34,46015,Benicalap
17,Librería Papelería Malvarrosa,"Av.de la Malva-Rosa, 35, Poblats Marítims, 46011 València, Valencia, España",39.4772377,-0.3281546,True,12:09:05,2024-02-19,4.4,194,46011,Poblados Marítimos
18,Papelería Mapamundi,"Avinguda de la Constitució, 136, La Saïdia, 46009 València, Valencia, España",39.48995,-0.3753666,False,14:50:37,2024-02-09,4.4,29,46009,La Saïdia
20,Casa del Libro,"Avinguda del Professor López Piñero, 16 Centro Comercial Saler, C96-C97, 46013 Valencia, España",39.4525752,-0.3563018,True,14:50:44,2024-02-09,4.4,1698,46013,Quatre Carreres
21,Papelería Libreria Suico,"Brasil, 12, L'Olivereta, 46018 Valencia, España",39.4709932,-0.3956157,False,14:50:40,2024-02-09,4.0,46,46018,L'Olivereta
23,Papeleria y Libreria Titelles,"C de Campoamor, 103, Algirós, 46022 València, Valencia, España",39.46926870000001,-0.3398348,False,14:50:31,2024-02-09,4.4,114,46022,Algirós
25,Libros Fugitivos,"C. Marqués de Zenete, 21, Extramurs, 46007 Valencia, España",39.4646797,-0.3861955,False,14:50:39,2024-02-09,5.0,297,46007,Extramurs
27,Librerias París-Valencia,"C. de Navellos, 8, Ciutat Vella, 46003 València, Valencia, España",39.476855,-0.3750415,False,14:50:30,2024-02-09,4.5,270,46003,Ciutat Vella
29,Llibreria Fan Set,"C. de Sant Ferran, 12, Ciutat Vella, 46001 València, Valencia, España",39.4729986,-0.3770216,False,14:50:30,2024-02-09,4.7,33,46001,Ciutat Vella
31,El Asilo del Libro,"C. de Sant Ferran, 14, Ciutat Vella, 46001 València, Valencia, España",39.473036,-0.377109,False,14:50:30,2024-02-09,4.4,163,46001,Ciutat Vella
33,Papeleria Compás,"C. de l'Alegria, Poblats Marítims, 46011 València, Valencia, España",39.4656976,-0.3320711,True,12:09:05,2024-02-19,4.7,84,46011,Poblados Marítimos
34,Papeleria - Libreria Benipaper,"C. de l'Arquitecte Arnau, 57, Benimaclet, 46020 València, Valencia, España",39.4860823,-0.3564793,False,14:50:28,2024-02-09,4.7,96,46020,Benimaclet
36,Librería Patagonia,"C. del Hospital, 1, Ciutat Vella, 46001 Valencia, España",39.47104059999999,-0.3803023,False,14:50:39,2024-02-09,4.7,244,46001,Ciutat Vella
38,Librería Regolf,"C. del Mar, 47, Ciutat Vella, 46003 València, Valencia, España",39.4733358,-0.3709764,True,12:09:04,2024-02-19,4.6,73,46003,Ciutat Vella
39,El Cresol,"C. del Músic Barbieri, 7, izqu, Patraix, 46018 Valencia, España",39.4611738,-0.3941695,True,12:09:18,2024-02-19,4.7,384,46018,Patraix
41,La Librería de Le Monde diplomatique,"C. del Pintor Sorolla, nº 19, 3º, Ciutat Vella, 46002 València, Valencia, España",39.4707268,-0.3737487,False,14:50:30,2024-02-09,0.0,0,46002,Ciutat Vella
42,La Repartidora,"C. del Reverend Rafael Tramoyeres, 8, Benimaclet, 46020 València, Valencia, España",39.4851087,-0.3614322,False,14:50:28,2024-02-09,4.9,129,46020,Benimaclet
43,Libro Ideas - Arena,"C.C. Arena, C/ de Santa Genoveva Torres, 21, 46019 València, España",39.4952455,-0.3627185,True,12:09:12,2024-02-19,4.4,344,46019,Rascanya
45,Kiosko Pepa,"C/ d'Emili Baró, Benimaclet, 46020 València, Valencia, España",39.49034839999999,-0.3594517,False,14:50:28,2024-02-09,3.0,2,46020,Benimaclet
46,La Traca llibreria i papereria,"C/ d'Enric Navarro, 15, Benimaclet, 46020 València, Valencia, España",39.485102,-0.3590867,False,14:50:37,2024-02-09,4.8,153,46020,Benimaclet
48,LIBRERIA GALERADAS,"C/ d'Àngel Guimerà, 44, Extramurs, 46008 València, Valencia, España",39.4698864,-0.3883055,False,14:50:40,2024-02-09,4.8,13,46008,Extramurs
50,Libreria Al Tossal,"C/ de Balmes, 11, Ciutat Vella, 46001 València, Valencia, España",39.473442,-0.381534,False,14:50:30,2024-02-09,3.5,41,46001,Ciutat Vella
52,Swift books,"C/ de Cadis, 17, L'Eixample, 46006 València, Valencia, España",39.4634568,-0.374564,False,14:50:44,2024-02-09,4.4,40,46006,L'Eixample
54,Librería Bartleby,"C/ de Cadis, 50, L'Eixample, 46006 València, Valencia, España",39.46163689999999,-0.3735358,False,14:50:44,2024-02-09,4.7,290,46006,L'Eixample
56,Libreria La Batisfera,"C/ de Carles Ros, 32, Poblats Marítims, 46011 València, Valencia, España",39.4706271,-0.3285981,False,14:50:31,2024-02-09,5.0,23,46011,Poblados Marítimos
58,Kiosco Imperial,"C/ de Fra Juníper Serra, 85, Patraix, 46014 València, Valencia, España",39.4636192,-0.4011418,False,14:50:36,2024-02-09,4.6,46,46014,Patraix
60,Librería Releo,"C/ de Francisco Moreno Usedo, 30, L'Olivereta, 46018 València, Valencia, España",39.47219949999999,-0.3972323,False,14:50:40,2024-02-09,4.2,47,46018,L'Olivereta
61,La Primera Libros,"C/ de Guillem de Castro, 106, Ciutat Vella, 46003 València, Valencia, España",39.4776865,-0.3834425,False,14:50:40,2024-02-09,4.6,78,46003,Ciutat Vella
63,Librería Futurama Cómics,"C/ de Guillem de Castro, 53, Extramurs, 46007 València, Valencia, España",39.4700141,-0.3831402,False,14:50:40,2024-02-09,4.7,1807,46007,Extramurs
65,Librería Papelería Seguí,"C/ de Jerónima Galés, 20, Jesús, 46017 València, Valencia, España",39.4539892,-0.3900149000000001,False,14:50:43,2024-02-09,4.6,175,46017,Jesus
67,Librería Anticuario,"C/ de Joan Llorenç, 62, Extramurs, 46008 València, Valencia, España",39.4697936,-0.3889463,False,14:50:40,2024-02-09,5.0,1,46008,Extramurs
69,Papelería - Librería Öz,"C/ de José Grollo, 53, Benicalap, 46025 València, Valencia, España",39.4909936,-0.3909878,True,12:09:02,2024-02-19,4.8,311,46025,Benicalap
71,Abacus Cooperativa | Aqua,"C/ de Menorca, 19, Camins al Grau, 46023 València, Valencia, España",39.4566922,-0.3457674,True,12:09:05,2024-02-19,4.1,225,46023,Camins al Grau
73,Aida Books&More,"C/ de Molinell, 14, La Saïdia, 46010 València, Valencia, España",39.4848506,-0.3684859,False,14:50:37,2024-02-09,4.7,614,46010,La Saïdia
75,AIDA Books&More Valencia,"C/ de Moratín, 11, Ciutat Vella, 46002 València, Valencia, España",39.4711883,-0.3758603,False,14:50:30,2024-02-09,4.7,233,46002,Ciutat Vella
77,Librerías París Valencia,"C/ de Pelai, 7, Extramurs, 46007 València, Valencia, España",39.4672736,-0.3783433,False,14:50:44,2024-02-09,4.7,3849,46007,Extramurs
79,Librería Berlín,"C/ de Polo y Peyrolón, 1, El Pla del Real, 46021 València, Valencia, España",39.4711953,-0.3563137,False,14:50:42,2024-02-09,4.5,307,46021,Pla del Real
81,papelería-librería-manualidades Quart133 en Valencia,"C/ de Quart, 133, bajo drcha, Extramurs, 46008 Valencia, España",39.4745159,-0.3909117,False,14:50:40,2024-02-09,4.8,36,46008,Extramurs
83,Mercado del Libro Usado de Benimaclet,"C/ de Sant Columbà, 14, bajo, Benimaclet, 46020 Valencia, España",39.4899155,-0.3574724,False,14:50:28,2024-02-09,3.9,131,46020,Benimaclet
85,Itaca Libreria,"C/ de Sant Vicent Màrtir, 214, Jesús, 46007 València, Valencia, España",39.457271,-0.3838078,False,14:50:44,2024-02-09,5.0,2,46007,Extramurs
87,Abacus Cooperativa | Arena,"C/ de Santa Genoveva Torres, 21, Rascanya, 46019 València, Valencia, España",39.4943754,-0.362413,True,12:09:12,2024-02-19,4.0,87,46019,Rascanya
89,Book Lovers Valencia,"C/ de Sevilla, 5, L'Eixample, 46006 València, Valencia, España",39.464246,-0.3741408,False,14:50:44,2024-02-09,4.9,193,46006,L'Eixample
90,Librería Soriano,"C/ de Xàtiva, 15, Ciutat Vella, 46002 València, Valencia, España",39.4676022,-0.3765376,True,12:09:19,2024-02-19,4.4,1818,46002,Ciutat Vella
