,Municipios,Distritos,Secciones,Indicadores de renta media y mediana,Periodo,Total
14,46250 València,01,01001,Renta neta media por persona ,2021,19.263
21,46250 València,01,01002,Renta neta media por persona ,2021,18.485
28,46250 València,01,01003,Renta neta media por persona ,2021,20.336
35,46250 València,01,01005,Renta neta media por persona ,2021,19.795
42,46250 València,01,01007,Renta neta media por persona ,2021,24.969
49,46250 València,01,01008,Renta neta media por persona ,2021,23.26
56,46250 València,01,01009,Renta neta media por persona ,2021,32.039
63,46250 València,01,01010,Renta neta media por persona ,2021,15.062
70,46250 València,01,01011,Renta neta media por persona ,2021,14.901
77,46250 València,01,01012,Renta neta media por persona ,2021,15.073
84,46250 València,01,01013,Renta neta media por persona ,2021,16.115
91,46250 València,01,01014,Renta neta media por persona ,2021,14.569
98,46250 València,01,01017,Renta neta media por persona ,2021,17.795
112,46250 València,01,01019,Renta neta media por persona ,2021,14.908
119,46250 València,01,01022,Renta neta media por persona ,2021,17.054
126,46250 València,01,01023,Renta neta media por persona ,2021,16.727
133,46250 València,01,01024,Renta neta media por persona ,2021,15.678
140,46250 València,01,01025,Renta neta media por persona ,2021,17.701
147,46250 València,01,01026,Renta neta media por persona ,2021,18.308
154,46250 València,01,01028,Renta neta media por persona ,2021,21.712
161,46250 València,01,01030,Renta neta media por persona ,2021,26.909
168,46250 València,01,01031,Renta neta media por persona ,2021,27.738
175,46250 València,01,01032,Renta neta media por persona ,2021,22.616
182,46250 València,01,01034,Renta neta media por persona ,2021,19.978
196,46250 València,02,02001,Renta neta media por persona ,2021,21.049
203,46250 València,02,02003,Renta neta media por persona ,2021,19.733
210,46250 València,02,02004,Renta neta media por persona ,2021,17.053
217,46250 València,02,02006,Renta neta media por persona ,2021,16.937
224,46250 València,02,02008,Renta neta media por persona ,2021,17.864
231,46250 València,02,02009,Renta neta media por persona ,2021,16.832
238,46250 València,02,02010,Renta neta media por persona ,2021,16.998
245,46250 València,02,02013,Renta neta media por persona ,2021,16.158
252,46250 València,02,02014,Renta neta media por persona ,2021,20.259
259,46250 València,02,02015,Renta neta media por persona ,2021,15.464
266,46250 València,02,02016,Renta neta media por persona ,2021,18.579
273,46250 València,02,02018,Renta neta media por persona ,2021,17.491
280,46250 València,02,02019,Renta neta media por persona ,2021,15.202
287,46250 València,02,02020,Renta neta media por persona ,2021,16.12
294,46250 València,02,02021,Renta neta media por persona ,2021,17.116
301,46250 València,02,02022,Renta neta media por persona ,2021,15.743
308,46250 València,02,02023,Renta neta media por persona ,2021,16.867
315,46250 València,02,02024,Renta neta media por persona ,2021,16.404
322,46250 València,02,02025,Renta neta media por persona ,2021,14.207
329,46250 València,02,02026,Renta neta media por persona ,2021,16.058
336,46250 València,02,02030,Renta neta media por persona ,2021,14.237
343,46250 València,02,02031,Renta neta media por persona ,2021,15.661
350,46250 València,02,02032,Renta neta media por persona ,2021,14.8
357,46250 València,02,02033,Renta neta media por persona ,2021,28.433
364,46250 València,02,02035,Renta neta media por persona ,2021,28.779
371,46250 València,02,02036,Renta neta media por persona ,2021,31.816
378,46250 València,02,02037,Renta neta media por persona ,2021,26.907
