Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
46250 Valencia;4625001 Valencia distrito 01;;Renta neta media por persona ;2021;19.299
46250 Valencia;4625001 Valencia distrito 01;;Renta neta media por persona ;2020;19.009
46250 Valencia;4625001 Valencia distrito 01;;Renta neta media por persona ;2019;18.756
46250 Valencia;4625001 Valencia distrito 01;;Renta neta media por persona ;2018;18.810
46250 Valencia;4625001 Valencia distrito 01;;Renta neta media por persona ;2017;17.076
46250 Valencia;4625001 Valencia distrito 01;;Renta neta media por persona ;2016;17.157
46250 Valencia;4625001 Valencia distrito 01;;Renta neta media por persona ;2015;16.369
46250 Valencia;4625002 Valencia distrito 02;;Renta neta media por persona ;2021;20.081
46250 Valencia;4625002 Valencia distrito 02;;Renta neta media por persona ;2020;20.299
46250 Valencia;4625002 Valencia distrito 02;;Renta neta media por persona ;2019;19.963
46250 Valencia;4625002 Valencia distrito 02;;Renta neta media por persona ;2018;19.043
46250 Valencia;4625002 Valencia distrito 02;;Renta neta media por persona ;2017;18.068
46250 Valencia;4625002 Valencia distrito 02;;Renta neta media por persona ;2016;17.652
46250 Valencia;4625002 Valencia distrito 02;;Renta neta media por persona ;2015;16.778
46250 Valencia;4625003 Valencia distrito 03;;Renta neta media por persona ;2021;17.347
46250 Valencia;4625003 Valencia distrito 03;;Renta neta media por persona ;2020;16.794
46250 Valencia;4625003 Valencia distrito 03;;Renta neta media por persona ;2019;16.719
46250 Valencia;4625003 Valencia distrito 03;;Renta neta media por persona ;2018;16.058
46250 Valencia;4625003 Valencia distrito 03;;Renta neta media por persona ;2017;15.193
46250 Valencia;4625003 Valencia distrito 03;;Renta neta media por persona ;2016;14.841
46250 Valencia;4625003 Valencia distrito 03;;Renta neta media por persona ;2015;14.550
46250 Valencia;4625004 Valencia distrito 04;;Renta neta media por persona ;2021;15.764
46250 Valencia;4625004 Valencia distrito 04;;Renta neta media por persona ;2020;15.126
46250 Valencia;4625004 Valencia distrito 04;;Renta neta media por persona ;2019;15.039
46250 Valencia;4625004 Valencia distrito 04;;Renta neta media por persona ;2018;14.500
46250 Valencia;4625004 Valencia distrito 04;;Renta neta media por persona ;2017;13.962
46250 Valencia;4625004 Valencia distrito 04;;Renta neta media por persona ;2016;13.657
46250 Valencia;4625004 Valencia distrito 04;;Renta neta media por persona ;2015;13.359
46250 Valencia;4625005 Valencia distrito 05;;Renta neta media por persona ;2021;13.439
46250 Valencia;4625005 Valencia distrito 05;;Renta neta media por persona ;2020;13.023
46250 Valencia;4625005 Valencia distrito 05;;Renta neta media por persona ;2019;12.732
46250 Valencia;4625005 Valencia distrito 05;;Renta neta media por persona ;2018;12.078
46250 Valencia;4625005 Valencia distrito 05;;Renta neta media por persona ;2017;11.367
46250 Valencia;4625005 Valencia distrito 05;;Renta neta media por persona ;2016;11.253
46250 Valencia;4625005 Valencia distrito 05;;Renta neta media por persona ;2015;11.028
46250 Valencia;4625006 Valencia distrito 06;;Renta neta media por persona ;2021;20.636
46250 Valencia;4625006 Valencia distrito 06;;Renta neta media por persona ;2020;20.207
46250 Valencia;4625006 Valencia distrito 06;;Renta neta media por persona ;2019;20.292
